[ 14059]
[$s13) 1]
[$s13)) 2]
[$s14) 2]
[$s15)) 1]
[$s17)) 1]
[$s22) 3]
[$s22)) 3]
[$z) 2]
[& 10]
[("long," 1]
[("minimum-distance-three" 1]
[((k+1)/2)(m/p)log2 1]
[((m+n)/2p)log2 1]
[(*) 1]
[(+-f(+-f(...+-f(x)...))) 1]
[(= 1]
[(0,1) 1]
[(0<=x<1) 1]
[(1 2]
[(1) 49]
[(1), 1]
[(1)the 1]
[(1+y)*ln(1+y) 1]
[(100-200) 1]
[(1600 1]
[(1934, 1]
[(1955-62). 1]
[(1963) 1]
[(1963), 1]
[(1967).using 1]
[(1968) 1]
[(1969) 1]
[(1-byte) 1]
[(2) 50]
[(2, 2]
[(2^b)m 1]
[(200 2]
[(2m+1)]+[3m/p] 1]
[(2n 1]
[(2s+1)-point 1]
[(3) 38]
[(3), 1]
[(4) 17]
[(4)deducom's 1]
[(4,194,304 1]
[(4^k 1]
[(40k 1]
[(5) 7]
[(50-100 1]
[(6) 4]
[(64k) 1]
[(7) 1]
[(8) 1]
[(800 1]
[(9 1]
[(a 11]
[(a) 5]
[(a), 1]
[(a). 2]
[(a); 1]
[(a,b) 1]
[(a1,...,an) 1]
[(abac-ii) 1]
[(abcd), 1]
[(about 1]
[(abstract 1]
[(accurately 1]
[(acf), 1]
[(acm). 1]
[(active 1]
[(ada) 1]
[(addendum) 1]
[(address) 1]
[(algorithm 851]
[(algorithm) 8]
[(algorithms 9]
[(all 1]
[(almost) 1]
[(althm 1]
[(although 1]
[(an 5]
[(and 5]
[(apart 1]
[(apld) 1]
[(appendixes 1]
[(apr. 1]
[(as 5]
[(asa). 1]
[(ascii) 2]
[(ascii). 1]
[(assuming 1]
[(at 1]
[(automata), 1]
[(automatically 1]
[(avl 1]
[(avoiding 1]
[(b 1]
[(b) 4]
[(b=16, 1]
[(background) 1]
[(bagdams) 1]
[(bags) 1]
[(barring 1]
[(bdl) 1]
[(bell 1]
[(both 1]
[(bounded) 1]
[(brad) 1]
[(brookhaven 1]
[(buffer 1]
[(but 3]
[(bytes) 1]
[(c) 4]
[(c3s) 1]
[(cache) 2]
[(called 2]
[(cauchy) 1]
[(cccs) 1]
[(cccs), 1]
[(cft) 1]
[(chairman), 1]
[(chance). 1]
[(chargeout 1]
[(chinese 1]
[(circa 1]
[(columns 2]
[(comm. 1]
[(compensating 1]
[(computer 1]
[(conceptually) 1]
[(concurrently, 1]
[(console 2]
[(core) 2]
[(correctly 1]
[(corresponding 1]
[(corrigenda) 2]
[(corrigendum) 34]
[(cos 1]
[(cosers) 2]
[(cpu) 2]
[(crt 1]
[(crwr) 1]
[(ctss) 1]
[(d) 1]
[(data 3]
[(database) 1]
[(dcf) 1]
[(ddp-224). 1]
[(deadlock). 1]
[(dec. 2]
[(decision 2]
[(developed 1]
[(diagnostic 1]
[(disk 1]
[(display) 1]
[(documents) 1]
[(dps) 1]
[(e.g. 11]
[(e.g., 2]
[(e^x)/x 1]
[(ecma 1]
[(eft) 1]
[(efts) 1]
[(eliza) 1]
[(em) 1]
[(errata) 5]
[(eschenbach) 1]
[(even 1]
[(examples 1]
[(exhaustive) 1]
[(expansion 1]
[(expected 1]
[(explicit 1]
[(exponential, 1]
[(f) 1]
[(faseb) 1]
[(feed-through 1]
[(feet, 1]
[(ferrite) 2]
[(file) 1]
[(finite 1]
[(floating 1]
[(for 5]
[(foreign 1]
[(formula 1]
[(formula). 1]
[(fortran 1]
[(fortran) 1]
[(fourth) 1]
[(fourth-order) 1]
[(fpl). 1]
[(fredholm) 1]
[(from 2]
[(fsms), 1]
[(g) 1]
[(g=2) 1]
[(gier 1]
[(gopt) 1]
[(gpss) 1]
[(grad 1]
[(greater 1]
[(guarantees 1]
[(guarantees) 1]
[(gws) 1]
[(hb[k]) 1]
[(heuristic 1]
[(his 2]
[(honeywell 1]
[(i) 3]
[(i), 1]
[(i,t,x,p) 1]
[(i.a.) 1]
[(i.e. 10]
[(i.e., 1]
[(i.e.o 1]
[(i/o 1]
[(i/o) 2]
[(i/o). 1]
[(i>1) 1]
[(ia 1]
[(ibm 1]
[(ibsys) 1]
[(if 1]
[(ifip) 2]
[(ii) 3]
[(ii). 1]
[(ii. 1]
[(iii. 1]
[(in 10]
[(including 7]
[(individual 1]
[(information 1]
[(insertion, 1]
[(instead 1]
[(intense 1]
[(intermittent 1]
[(internal 2]
[(internally 1]
[(interpreted 1]
[(ioi, 1]
[(irf), 1]
[(isam) 1]
[(isps). 1]
[(it 1]
[(itself 1]
[(jan. 1]
[(joined 1]
[(june 1]
[(k) 1]
[(k-1)! 1]
[(laboratory 1]
[(language 1]
[(least 1]
[(less 1]
[(lifetimes). 1]
[(light 1]
[(like 2]
[(limited 1]
[(limited) 1]
[(log 5]
[(log2 1]
[(long 1]
[(lowest) 2]
[(lru) 1]
[(m 1]
[(m+1)] 2]
[(major) 1]
[(man-machine) 1]
[(manuscripts) 1]
[(mathematical) 1]
[(meaning 1]
[(measured 1]
[(micro) 1]
[(microsentences)has 1]
[(min) 2]
[(minor) 1]
[(mis) 1]
[(mod(p-1) 1]
[(model), 1]
[(more 1]
[(most 1]
[(mpe) 1]
[(mst) 1]
[(mtpt) 1]
[(mtpt), 1]
[(mts) 1]
[(multipurpose 1]
[(n 7]
[(n) 1]
[(n/2) 1]
[(n/4) 1]
[(n/m)] 1]
[(n^(k-1)/k); 1]
[(n^(k-t)/k)] 1]
[(n^2)/win 1]
[(n-1) 1]
[(nmcsa). 1]
[(no. 7]
[(nondial) 1]
[(not 2]
[(notably 1]
[(nov. 2]
[(number 1]
[(octal 1]
[(odd 1]
[(of 2]
[(on 3]
[(or 32]
[(or, 1]
[(oracle 1]
[(origins) 1]
[(osa) 1]
[(oshb) 1]
[(other 1]
[(p.r.s.) 1]
[(pad) 1]
[(parentheses 1]
[(part 4]
[(partition 1]
[(pass 2]
[(pff) 1]
[(pgs) 1]
[(pi) 1]
[(pl/i) 1]
[(pointers) 1]
[(positive 1]
[(possibly 3]
[(pp) 1]
[(pracnique) 1]
[(predictor-correctors), 1]
[(prime 1]
[(programs) 1]
[(projections) 1]
[(proliferation 1]
[(pronounced 1]
[(property) 1]
[(proposed 29]
[(proposed) 1]
[(prove 2]
[(q) 2]
[(q-1)). 1]
[(q-d) 1]
[(qsic) 1]
[(queue 1]
[(quickersort) 1]
[(r426) 1]
[(raster,random, 1]
[(rather 1]
[(read 1]
[(readiness 1]
[(recently 1]
[(reciprocal 1]
[(rectangular 1]
[(regression 1]
[(reject 1]
[(related) 1]
[(relative 1]
[(resembling, 1]
[(resource 1]
[(revised) 1]
[(rome) 1]
[(rrp) 1]
[(rs-273) 1]
[(rs-274) 1]
[(runge-kutta) 1]
[(sample) 2]
[(sba) 1]
[(sba): 1]
[(scheduling 1]
[(science 1]
[(search 1]
[(semantic) 1]
[(sembegs) 1]
[(sigma) 1]
[(since 1]
[(sjp) 1]
[(sltf) 1]
[(sltf), 1]
[(small) 1]
[(sor), 1]
[(space), 1]
[(spr) 1]
[(standards) 1]
[(stationary 1]
[(statistical) 1]
[(such 4]
[(supervisory 1]
[(system 1]
[(system-cataloged 1]
[(systems 1]
[(tables) 1]
[(tabulated) 2]
[(telex) 1]
[(terminals), 1]
[(text 1]
[(that 2]
[(the 17]
[(there 1]
[(third) 2]
[(this 4]
[(thus 1]
[(time 1]
[(time-sharing) 1]
[(tlc) 1]
[(trac) 1]
[(triangle 1]
[(trib), 1]
[(tss). 1]
[(two 2]
[(two-by-two 1]
[(typically, 1]
[(underlined 1]
[(underthe 1]
[(unless 1]
[(untaa). 1]
[(unweighted) 1]
[(up 3]
[(user/service 1]
[(using 2]
[(usually 2]
[(v,e) 1]
[(v,u,t,r) 1]
[(v,z) 2]
[(vdl) 1]
[(via 1]
[(voice) 1]
[(when 1]
[(where 2]
[(which 2]
[(with 3]
[(within 2]
[(without 2]
[(x 1]
[(x*,y*) 2]
[(x*,y*), 1]
[(x*,y*). 1]
[(x,y)-plane 1]
[(x,y)-space. 2]
[(y')^2 1]
[(y/720)delta^8. 1]
[(z,a) 1]
[(z1,...,zm) 1]
[) 4]
[)! 1]
[* 2]
[, 2]
[. 1]
[... 5]
[..., 2]
[.2 1]
[.214 1]
[.465 1]
[.5(n 2]
[.5*ln 1]
[.9 1]
[.a 3120]
[.c 1425]
[.k 1429]
[.t 3204]
[.w 1587]
[["control 1]
[[(t+1)/v]b^(1-t) 2]
[[-.5*ln 1]
[[1,2] 2]
[[1/16, 1]
[[1] 3]
[[1], 1]
[[1]. 3]
[[15]) 1]
[[15]. 1]
[[3]. 1]
[[6]. 1]
[[6]; 1]
[[9] 1]
[[a,b] 1]
[[a1] 3]
[[a1]) 12]
[[a2]) 1]
[[b1]) 3]
[[b3]) 3]
[[c1] 1]
[[c1]) 5]
[[c2] 2]
[[c2]) 7]
[[c5] 2]
[[c5]) 4]
[[c6] 1]
[[c6]) 9]
[[comm. 4]
[[communications 1]
[[d1] 10]
[[d1]) 17]
[[d2] 3]
[[d2]) 2]
[[d3] 1]
[[e1] 3]
[[e1]) 1]
[[e2] 6]
[[e2]) 9]
[[e4, 1]
[[e4] 2]
[[e4]) 9]
[[empirically 1]
[[f1, 1]
[[f1] 2]
[[f1]) 9]
[[f2] 2]
[[f2]) 7]
[[f3]) 3]
[[f4] 6]
[[f4]) 7]
[[g1] 1]
[[g1]) 3]
[[g2] 1]
[[g2]) 2]
[[g5] 3]
[[g5]) 11]
[[g6] 2]
[[g6]) 16]
[[g7] 2]
[[h] 10]
[[h]) 22]
[[h1] 1]
[[i5]) 2]
[[j6] 5]
[[j6]) 2]
[[k2]) 3]
[[l2]) 1]
[[-ln 1]
[[m. 2]
[[m/p](2+b) 1]
[[m/p](3+k) 1]
[[m/p][log2 1]
[[m1] 3]
[[m1]) 5]
[[madcap: 1]
[[proven 1]
[[r2]) 2]
[[s13] 1]
[[s14] 5]
[[s14]) 13]
[[s15] 1]
[[s15]) 17]
[[s16]) 2]
[[s17] 1]
[[s17]) 3]
[[s20]) 4]
[[s21]) 2]
[[s22] 1]
[[s22]) 8]
[[s23]) 2]
[[-t(0), 1]
[[v, 1]
[[z] 6]
[[z]) 9]
[[zh]) 1]
[`; 1]
[{0, 1]
[{delta 2]
[{e[k]}, 1]
[{e[k]}. 1]
[{size(i)}, 1]
[|a|, 1]
[|a|=m, 1]
[|b|=n, 1]
[|psi|<1); 1]
[+ 18]
[+- 1]
[+-f 1]
[+-f(+-f(+-f(...+-f(x)..))) 1]
[< 7]
[<= 14]
[= 25]
[> 3]
[-> 2]
[--> 2]
[>= 2]
[0 10]
[0(1) 1]
[0(log^2n) 2]
[0(n) 1]
[0, 1]
[0. 1]
[0.1 1]
[0.34 1]
[0-1 4]
[1 25]
[1) 5]
[1)! 1]
[1)/2 1]
[1, 9]
[-1, 1]
[1,000,000 1]
[1,4000 1]
[1,777 1]
[1. 5]
[1.0 8]
[1.1 4]
[1.140 1]
[1.2 13]
[1.3 21]
[1.386 1]
[1.4 3]
[1.5 23]
[1.5). 1]
[1.5, 2]
[1.50 10]
[1.51 3]
[1.52 42]
[1.53 5]
[1.59 7]
[1.90 1]
[1.91 1]
[1/3 1]
[1/4 1]
[1/k 1]
[1/n 1]
[1; 1]
[1], 1]
[1}, 1]
[1+log2 1]
[10 9]
[10) 1]
[10, 2]
[10,000 3]
[10. 2]
[10.1 1]
[10^4 1]
[10^8 1]
[10^i, 1]
[10^p 1]
[10^x, 1]
[100 9]
[100) 1]
[100. 1]
[100-fold. 1]
[101) 1]
[102) 1]
[102[g6]; 1]
[1023 1]
[103) 1]
[104) 1]
[105) 2]
[106) 2]
[107) 2]
[108) 2]
[109) 2]
[10-bit 1]
[11 2]
[11, 2]
[11/45 1]
[110) 1]
[1100 6]
[1100/80, 1]
[1103 1]
[1107 3]
[1108 1]
[112) 2]
[113) 1]
[114) 1]
[115) 3]
[115, 1]
[116) 1]
[117 3]
[117) 1]
[118) 5]
[119) 1]
[12 6]
[120 2]
[120) 2]
[121 1]
[121) 1]
[122) 2]
[123 1]
[123) 4]
[124 1]
[124) 1]
[125) 1]
[125-word 1]
[126) 1]
[127 1]
[127) 1]
[128 1]
[128) 1]
[129) 2]
[13 3]
[13) 3]
[130) 1]
[130,000 1]
[130[g6]; 1]
[131) 1]
[1311 1]
[132 1]
[132-bit 1]
[133) 4]
[134 1]
[134) 2]
[135 2]
[135) 2]
[136) 1]
[137) 1]
[138) 1]
[13891 1]
[139 1]
[139) 1]
[14) 1]
[14,000 1]
[140 1]
[140) 2]
[1400 1]
[1401 8]
[1401. 1]
[1401-7090 1]
[141) 1]
[1410 3]
[142) 1]
[143) 1]
[144) 1]
[1440 2]
[145 1]
[145) 2]
[146) 2]
[147 1]
[147) 2]
[148) 3]
[149) 2]
[15 6]
[15) 3]
[150) 4]
[151) 1]
[152) 2]
[153) 2]
[154) 2]
[155) 2]
[156) 2]
[157) 3]
[158) 1]
[159) 2]
[15-node 1]
[15-year 1]
[16 1]
[16) 3]
[160 2]
[160) 1]
[1600 1]
[1604 1]
[1604, 1]
[1604a. 1]
[161 1]
[161) 2]
[162 1]
[162) 2]
[1620 6]
[163) 2]
[164) 2]
[165 1]
[165) 1]
[166) 2]
[167) 2]
[1-67) 1]
[168) 1]
[169) 2]
[16-bit 2]
[16th 1]
[17) 1]
[17, 1]
[170 1]
[170) 2]
[173) 3]
[174) 1]
[175) 4]
[1750 1]
[176) 1]
[177) 2]
[178 4]
[178) 1]
[179 1]
[179) 1]
[18 3]
[18) 2]
[180 1]
[180) 1]
[180,000 1]
[181 2]
[181) 1]
[182) 2]
[1822 1]
[184) 1]
[185) 1]
[186) 1]
[187) 1]
[188) 1]
[189) 1]
[18-byte 1]
[19 1]
[19) 3]
[19. 1]
[190) 1]
[1900, 1]
[191 1]
[191) 1]
[192) 2]
[193) 2]
[1935), 1]
[194) 1]
[1940's 1]
[1945-1947 1]
[1945-55 1]
[1946-49) 1]
[195) 1]
[1950 1]
[1956 1]
[1956-1965 1]
[1957 1]
[1957-ii 1]
[1957-iii 1]
[1958. 1]
[1958-59, 1]
[1958-60, 1]
[196 1]
[196) 1]
[196), 1]
[1960 5]
[1960, 1]
[1960. 1]
[1960]. 1]
[1960-1968 1]
[1960-64 1]
[1960's 1]
[1961 2]
[1962) 1]
[1962), 1]
[1962, 1]
[1963 2]
[1963) 1]
[1963)]. 1]
[1963. 4]
[1963] 2]
[1964. 1]
[1964: 2]
[1964-65 1]
[1965 3]
[1965), 1]
[1965] 1]
[1965-1975 1]
[1966 3]
[1966, 3]
[1966. 1]
[1966-67. 1]
[1967, 3]
[1968 1]
[1968), 1]
[1968, 2]
[1968-69 1]
[1969 6]
[1969. 2]
[197) 2]
[1970 7]
[1970, 2]
[1970. 2]
[1970's. 1]
[1971 2]
[1971-73. 1]
[1972. 2]
[1973 1]
[1973. 1]
[1974 2]
[1974-75 2]
[1975 2]
[1975-76. 1]
[1976) 1]
[1976, 1]
[1977 1]
[1977. 2]
[1978 1]
[1978. 1]
[198) 1]
[199 1]
[199) 1]
[1-bit 1]
[1-byte 1]
[2 28]
[2(m+n) 1]
[2) 3]
[2). 1]
[2**31 2]
[2**61 2]
[2, 10]
[2,092,000 1]
[2. 4]
[2.0 15]
[2.1 12]
[2.10 4]
[2.11 17]
[2.12 15]
[2.19 6]
[2.2 15]
[2.3 15]
[2.4 5]
[2.40 9]
[2.41 6]
[2.42 5]
[2.43 14]
[2.44 12]
[2.45 7]
[2.49 5]
[2.6662. 1]
[2.78 1]
[2.9 4]
[2/3n 1]
[2; 1]
[2[log2 3]
[2] 1]
[2]. 1]
[2^15 1]
[2^16 1]
[2^27, 1]
[2^k 2]
[2^k. 1]
[2^n-word 2]
[2^q-1, 1]
[2^r. 1]
[20 4]
[20) 2]
[200 5]
[200) 1]
[2000 4]
[201 1]
[201) 2]
[201), 1]
[202 1]
[202) 1]
[202[g6]) 1]
[203 2]
[203) 1]
[203-206; 1]
[204) 1]
[2048 1]
[2048-word 2]
[205 1]
[205) 1]
[205, 1]
[206 1]
[206) 1]
[207 1]
[207) 1]
[207), 1]
[208) 1]
[209 2]
[209) 2]
[20-gate 1]
[20-gate. 1]
[21) 1]
[210) 2]
[211) 1]
[212) 1]
[213 1]
[213) 1]
[214) 2]
[215 1]
[215) 2]
[216) 1]
[217 1]
[217) 1]
[218 2]
[218) 1]
[219) 1]
[22 3]
[22) 1]
[220 2]
[220) 1]
[221 1]
[221) 1]
[221[s14]; 1]
[222 1]
[222) 2]
[223) 1]
[224 1]
[224) 1]
[224-word 1]
[225 1]
[225) 1]
[2250 1]
[226 1]
[226) 1]
[227) 1]
[228) 1]
[229 1]
[229) 1]
[22-digit 1]
[23) 2]
[23,040-character 1]
[23,1 1]
[230) 1]
[231 1]
[231) 1]
[2314 1]
[232) 1]
[233 1]
[233) 1]
[234 2]
[235 2]
[236 2]
[237 2]
[238 1]
[239 1]
[24 2]
[24) 1]
[24, 1]
[240 2]
[242 1]
[243 2]
[244 1]
[245 3]
[245), 1]
[245, 1]
[246 2]
[247 1]
[248 3]
[25 6]
[25) 3]
[25,000 1]
[250 2]
[251 2]
[251[e4]) 1]
[252 1]
[253 2]
[254 3]
[255 1]
[256 3]
[257 3]
[258 2]
[258[h]; 1]
[259 1]
[26 1]
[26) 1]
[260 1]
[260,000 1]
[261 1]
[262 1]
[263 2]
[263a 1]
[264 2]
[265 1]
[266 3]
[267 1]
[268 2]
[269 1]
[269[f3]) 1]
[27 1]
[27) 3]
[270 1]
[271 3]
[271), 1]
[272 3]
[273 1]
[274 2]
[275 1]
[276 1]
[277[c6]) 1]
[278 1]
[279 4]
[27-bit 2]
[28 3]
[28) 2]
[281 1]
[282 2]
[283 1]
[284 1]
[285 2]
[286 2]
[287 1]
[288 2]
[289 1]
[29) 1]
[290 1]
[291 2]
[291[s14]) 1]
[292 4]
[293 2]
[293[h]) 1]
[29-30, 1]
[294 1]
[295 1]
[296 3]
[297 1]
[298 2]
[299 2]
[2f, 1]
[2m 1]
[2n 9]
[2n). 1]
[3 14]
[3(2^k), 1]
[3) 3]
[3*4*...*(n-1) 1]
[3, 5]
[3. 4]
[3.0 1]
[3.02 2]
[3.1 6]
[3.10 10]
[3.11 4]
[3.12 7]
[3.13 5]
[3.14 5]
[3.15 33]
[3.16 1]
[3.17 9]
[3.19 5]
[3.2 9]
[3.20 15]
[3.21 4]
[3.23 7]
[3.24 19]
[3.25 4]
[3.26 1]
[3.26, 1]
[3.27 1]
[3.29 3]
[3.3 4]
[3.30 6]
[3.31 3]
[3.32 7]
[3.33 2]
[3.34 9]
[3.35 3]
[3.36 11]
[3.37 1]
[3.39 2]
[3.4 2]
[3.40 2]
[3.41 5]
[3.41, 1]
[3.42 31]
[3.43 2]
[3.44 6]
[3.49 3]
[3.5 17]
[3.50 44]
[3.51 27]
[3.52 9]
[3.53 9]
[3.53.70 1]
[3.54 2]
[3.55 4]
[3.56 4]
[3.57 9]
[3.59 14]
[3.6 5]
[3.60 10]
[3.61 5]
[3.62 14]
[3.63 43]
[3.64 22]
[3.65 20]
[3.66 17]
[3.69 9]
[3.7 28]
[3.70 52]
[3.71 19]
[3.72 32]
[3.73 89]
[3.73, 1]
[3.73. 1]
[3.74 115]
[3.74, 3]
[3.75 11]
[3.75, 1]
[3.79 35]
[3.79, 1]
[3.8 5]
[3.80 20]
[3.80, 2]
[3.81 32]
[3.81, 3]
[3.82 4]
[3.82, 1]
[3.83 6]
[3.83, 1]
[3.89 13]
[3.9 7]
[3.90 1]
[30 9]
[30) 3]
[30,000 1]
[300 6]
[301 8]
[301; 1]
[302 2]
[304 5]
[305 2]
[306 1]
[307 1]
[308 1]
[309 1]
[31) 4]
[31, 1]
[310 2]
[310[a1]; 1]
[311 1]
[311[a1]) 1]
[312 1]
[313 2]
[31-36]. 1]
[314 2]
[315 2]
[316[c5]) 1]
[317 1]
[318 1]
[319 1]
[32 2]
[32) 2]
[32,000 1]
[32,768, 1]
[320 1]
[321); 1]
[322 2]
[323 2]
[324 1]
[325 1]
[326 1]
[327 1]
[328 2]
[329 1]
[32-bit 1]
[32k 2]
[33 1]
[33) 1]
[33,000 1]
[330 1]
[331 3]
[332 1]
[332,344,351,359) 1]
[333 2]
[3330 1]
[334 2]
[335 1]
[336 2]
[337 2]
[338 1]
[339 2]
[34) 2]
[34[s14]; 1]
[340 3]
[341 3]
[343 2]
[344 1]
[344) 1]
[345 2]
[346 1]
[347 3]
[348 1]
[349 1]
[35 1]
[35) 3]
[35[a1]; 1]
[350 1]
[350. 1]
[351 2]
[352 2]
[353 1]
[354 1]
[355 1]
[356 1]
[357 1]
[358 1]
[36 1]
[36) 1]
[360 10]
[360, 3]
[360. 2]
[360/195. 1]
[360/30). 1]
[360/40; 1]
[360/65 1]
[360/67 3]
[360/67. 2]
[360/75 1]
[360/91 2]
[3600 6]
[3600. 2]
[360-65, 1]
[361 2]
[362 1]
[363 1]
[364 1]
[365 1]
[365. 1]
[366 2]
[367 1]
[368 2]
[369 1]
[36-bit 4]
[37 1]
[37) 3]
[37, 1]
[370 1]
[371 1]
[372 1]
[373 1]
[374 1]
[375 1]
[376 1]
[377 1]
[378 1]
[379 1]
[38) 2]
[380 1]
[380) 1]
[381 1]
[382 2]
[383 2]
[384 1]
[384) 1]
[385 2]
[385) 1]
[386) 1]
[386. 1]
[387) 1]
[388) 1]
[389) 1]
[39) 1]
[390) 1]
[391) 1]
[392) 1]
[393) 1]
[394) 1]
[395) 1]
[396) 1]
[397) 1]
[398) 1]
[399) 1]
[3-a 1]
[3-d 6]
[3-j, 2]
[3-space 2]
[4 3]
[4) 2]
[4). 1]
[4, 4]
[4,5]) 1]
[4.0 53]
[4.0, 1]
[4.1 12]
[4.1, 2]
[4.10 17]
[4.11 10]
[4.12 125]
[4.13 31]
[4.19 39]
[4.2 35]
[4.2, 1]
[4.20 51]
[4.20, 1]
[4.21 10]
[4.22 148]
[4.24 1]
[4.29 32]
[4.3 22]
[4.30 54]
[4.31 23]
[4.32 139]
[4.33 23]
[4.34 43]
[4.35 35]
[4.39 41]
[4.4 3]
[4.40 14]
[4.40, 1]
[4.41 45]
[4.42 27]
[4.43 15]
[4.45 1]
[4.49 62]
[4.5 1]
[4.6 32]
[4.82 2]
[4.9 64]
[4.90 1]
[40 8]
[40) 4]
[40, 1]
[40,000 1]
[400 3]
[4000 3]
[4000, 1]
[401 1]
[402 2]
[402) 1]
[402). 1]
[4020 2]
[403) 1]
[404) 1]
[405) 1]
[406) 1]
[407) 1]
[407. 1]
[408) 1]
[41 1]
[41) 4]
[41[f3]; 1]
